Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,304520.000000,306416.000000,303000.000000,304860.000000,304860.000000,200
2019-03-04,304900.000000,307315.000000,301200.000000,303400.000000,303400.000000,300
2019-03-05,302825.000000,303100.000000,301300.000000,302600.000000,302600.000000,200
2019-03-06,302300.000000,303548.000000,301200.000000,301375.000000,301375.000000,100
2019-03-07,300800.000000,301000.000000,297500.000000,299050.000000,299050.000000,300
2019-03-08,297000.000000,299161.000000,295900.000000,299000.000000,299000.000000,200
2019-03-11,300000.000000,303451.000000,300000.000000,303279.000000,303279.000000,200
2019-03-12,304200.000000,305540.000000,303725.000000,304235.000000,304235.000000,200
2019-03-13,304500.000000,308026.000000,304355.000000,306300.000000,306300.000000,400
2019-03-14,305360.000000,306555.000000,304300.000000,305350.000000,305350.000000,100
2019-03-15,306440.000000,309171.000000,306000.000000,307250.000000,307250.000000,300
2019-03-18,308140.000000,310394.000000,308140.000000,309996.000000,309996.000000,300
2019-03-19,311100.000000,311299.000000,307100.000000,307900.000000,307900.000000,200
2019-03-20,307900.000000,307922.000000,304850.000000,305505.000000,305505.000000,200
2019-03-21,304000.000000,307120.000000,303390.000000,307120.000000,307120.000000,200
2019-03-22,305940.000000,305940.000000,300717.000000,301225.000000,301225.000000,300
2019-03-25,301227.000000,303410.000000,297900.000000,299380.000000,299380.000000,300
2019-03-26,301425.000000,302018.000000,298500.000000,300961.000000,300961.000000,200
2019-03-27,300851.000000,301481.000000,297900.000000,299764.000000,299764.000000,300
2019-03-28,300050.000000,301250.000000,298400.000000,301250.000000,301250.000000,200
2019-03-29,302500.000000,302579.000000,300152.000000,301215.000000,301215.000000,500
2019-04-01,302800.000000,307930.000000,302800.000000,307800.000000,307800.000000,400
2019-04-02,307000.000000,307900.000000,305417.000000,306000.000000,306000.000000,200
2019-04-03,308000.000000,308240.000000,304600.000000,305750.000000,305750.000000,200
2019-04-04,305250.000000,307385.000000,305100.000000,306461.000000,306461.000000,300
2019-04-05,305495.000000,308375.000000,305495.000000,307776.000000,307776.000000,300
2019-04-08,307674.000000,308598.000000,306185.000000,307461.000000,307461.000000,100
2019-04-09,306820.000000,307380.000000,305600.000000,307380.000000,307380.000000,100
2019-04-10,307700.000000,307700.000000,305600.000000,307000.000000,307000.000000,200
2019-04-11,308074.000000,310500.000000,306899.000000,309875.000000,309875.000000,200
2019-04-12,311000.000000,317226.000000,311000.000000,314250.000000,314250.000000,200
2019-04-15,315000.000000,315345.000000,311570.000000,314500.000000,314500.000000,200
2019-04-16,315000.000000,317500.000000,315000.000000,317500.000000,317500.000000,100
2019-04-17,318000.000000,318519.000000,314694.000000,316040.000000,316040.000000,100
2019-04-18,316620.000000,317003.000000,314610.000000,315330.000000,315330.000000,100
2019-04-22,313800.000000,315310.000000,313460.000000,314100.000000,314100.000000,100
2019-04-23,313865.000000,317730.000000,313756.000000,317684.000000,317684.000000,200
2019-04-24,317025.000000,317703.000000,315561.000000,316000.000000,316000.000000,200
2019-04-25,314900.000000,319015.000000,314295.000000,318500.000000,318500.000000,300
2019-04-26,318505.000000,321494.000000,318420.000000,321000.000000,321000.000000,400
